Topic 0 ,Topic 1 ,Topic 2 ,Topic 3 ,Topic 4 
0.9610420684270294,0.009910941088139133,0.009754362809737505,0.009695732459618123,0.009596895215475756
0.9420925556698294,0.014747239744968178,0.014464609344897962,0.014359930394460358,0.014335664845844235
0.2977814657227517,0.010672896955886142,0.6702381183344429,0.010664602461122897,0.010642916525796138
0.6575127420931631,0.13176223847189475,0.17951373380786767,0.015666771491948433,0.015544514135125823
0.3366712873635215,0.48270859223238205,0.012078999676209191,0.01195143891894257,0.15658968180894461
0.8251560166083494,0.01209468603439802,0.1390388358493843,0.011890377278001444,0.011820084229866794
0.6050099743105211,0.010811270134790931,0.3626838641047506,0.010723027532226894,0.010771863917710603
0.2174926168201363,0.7589493644375499,0.00787180983636176,0.007821606613789417,0.00786460229216259
0.18415148676807272,0.7880847364979258,0.009230683393334818,0.00917847112711725,0.009354622213549319
0.3929139733511545,0.4865837780301638,0.006429566974433837,0.006339174206952783,0.10773350743729489
0.9454839059085839,0.013892847045599387,0.013710278768407547,0.013479643525435537,0.013433324751973681
0.6350851127552088,0.33104372234247686,0.01143168969363764,0.011227552963864643,0.011211922244812175
0.008615394507303612,0.7551210988465047,0.008542356867052845,0.008538440095421335,0.21918270968371747
0.954315394944441,0.011543095418283932,0.011452259365725736,0.011161821432186355,0.01152742883936311
0.01002328258364538,0.010166854699471385,0.01015660468971059,0.8573915924616935,0.11226166556547915
0.014640819903928017,0.014782928224820429,0.9411894306925132,0.014797890790727863,0.014588930388010407
0.009747358292449129,0.96121896613787,0.00970820325259439,0.009621320151934832,0.009704152165151858
0.008269104320136215,0.008197907110647301,0.9671695181205929,0.008119606885860256,0.008243863562763258
0.3739678050820057,0.3672293912239619,0.23364640569869066,0.012584778133828852,0.012571619861512864
0.013686614695192707,0.7521055266026854,0.013503305574933972,0.013470393104762,0.2072341600224261
0.3382582617209123,0.004403331855756116,0.2876762610453536,0.004338836350806989,0.365323309027171
0.8790839937625077,0.01193324481659754,0.011987879457329959,0.08502714803229369,0.011967733931271296
0.012893053305800106,0.012833461809899617,0.948836610557399,0.012831055204163559,0.012605819122737703
0.012984256175868158,0.9483757603669984,0.013006701799663498,0.01269500866254705,0.012938272994922895
0.9487569353232886,0.013018928257997421,0.012930207999149236,0.012643714883110464,0.012650213536454099
0.9461172775735056,0.013489089265618275,0.013598786664561532,0.013368911193974025,0.01342593530234053
0.9548715965511773,0.01129427715786484,0.011323998830788278,0.011250346115482751,0.011259781344686939
0.9593464234326092,0.01011792493282733,0.010241988900724046,0.010136075637841134,0.010157587095998219
0.9614037430216579,0.00960996643710273,0.009803910497277087,0.00955640711976477,0.009625972924197593
0.4979511432875365,0.3563447289168652,0.010133221458393316,0.12543300063017881,0.01013790570702608
0.406731585864977,0.0021074923860927093,0.0020757709001431607,0.4471957542187168,0.14188939663007039
0.9518136543588939,0.012196825209537738,0.012164822509418496,0.011917969559854198,0.011906728362295702
0.9569318221843314,0.010857090443490387,0.010708780956401917,0.010834993803363745,0.010667312612412657
0.7232906677824498,0.012115055714776755,0.2408428604787389,0.011921245058690353,0.011830170965344246
0.952072161751646,0.012122219444346676,0.011987766171752491,0.011882961209760684,0.011934891422494032
0.9591159402976637,0.010375735008875214,0.010164103120007805,0.010161537190923386,0.010182684382530097
0.6116329083155299,0.21034002528002055,0.012844452094398516,0.013165321249179816,0.15201729306087128
0.0136628535994238,0.9451424281898072,0.013704270077817307,0.013648084429907455,0.013842363703044218
0.12356396202865794,0.6593019924692951,0.2007653354071218,0.008115445690200373,0.00825326440472489
0.5412376155320778,0.009407126432435695,0.009180041200849715,0.009264806286070426,0.43091041054856644
0.00856852459358708,0.5236361977577467,0.3620788537743739,0.09717803735564993,0.008538386518642312
0.9494213686826358,0.01268497121209051,0.012752974625000392,0.012558326115146266,0.012582359365126854
0.008574512634793027,0.7614901630209514,0.09769412264066507,0.12382969777761023,0.00841150392598047
0.0014683494035528345,0.2302642375848375,0.2531066050303455,0.0014564987135050307,0.513704309267759
0.9490230422226571,0.012936388383728507,0.012670356635849431,0.012759027500019924,0.012611185257744881
0.005858669444730397,0.42001076282296473,0.0058553899333277344,0.5624925099307968,0.0057826678681803115
0.7877335917497135,0.012820015601398251,0.17417393633565367,0.012588401571151799,0.012684054742082783
0.9780921334618452,0.0055335913568821254,0.005465328829422628,0.00549284986990095,0.005416096481949263
0.3492803251375388,0.3164293942853605,0.32118003215160484,0.00657369596170619,0.0065365524637896405
0.7722955806916159,0.2072131523336036,0.006875317853635911,0.006726611253331846,0.006889337867812893
0.017235764011285196,0.017027825736408236,0.932149470724712,0.016820461241849296,0.016766478285745245
0.3993188516115316,0.5538587453808469,0.015715350274539647,0.01561469564333724,0.015492357089744632
0.9546809570517679,0.011419630426817306,0.011446712258617344,0.011281817421768018,0.011170882841029253
0.6854253368829534,0.28417554625249114,0.010142975432306278,0.010131944336985978,0.01012419709526321
0.9548641759510783,0.01144273818254543,0.01131741638367239,0.01114688602088887,0.011228783461815208
0.9457760163727568,0.013796158387563458,0.013479058219316055,0.013552005384814093,0.01339676163554954
0.0024650476770466646,0.598803341354269,0.0024410676926772583,0.0596773506538173,0.33661319262218975
0.945697511119511,0.01369805118400785,0.013628725150314618,0.013533510152168091,0.01344220239399842
0.4986971979992402,0.22874718478379275,0.007037934995562934,0.007072413211856553,0.2584452690095475
0.017097874705326203,0.7889353837346208,0.016822392920033624,0.16013359995796794,0.017010748682051394
0.31479157723968537,0.3864192767417213,0.2734521122137938,0.012687137073379883,0.012649896731419743
0.9457620201446261,0.01369027070884049,0.013617932097607127,0.013413213617631663,0.013516563431294695
